1.000000000000000000e+00 1.399999999999999911e+00
3.000000000000000000e+00 3.000000000000000000e+00
2.302654863642420224e+00 1.041045737882028588e+00
2.335275820609615138e+00 1.178661176565078739e+00
1.876223526457804436e+00 1.066334273804758315e+00
1.669081032412976562e+00 8.301396321438838655e-01
2.442621794107334487e+00 8.676208992096551276e-01
1.854712690888528748e+00 1.062063595452032105e+00
1.884771715031273276e+00 9.921891216817181336e-01
2.145927260852374729e+00 1.170296783918079120e+00
1.513880816710231558e+00 1.158253643824307400e+00
2.072647140662119636e+00 1.151821598675188074e+00
2.058389392146043662e+00 9.732928048734935667e-01
1.573543704759670536e+00 8.447470014426942120e-01
1.803538105471071296e+00 9.564795682700529822e-01
1.957640187641521923e+00 1.046978233575729389e+00
1.829962815312979885e+00 1.011256910222860128e+00
1.690214275755179241e+00 1.051332229612188307e+00
2.337935556342497723e+00 8.670451965393609628e-01
1.855215083861587733e+00 9.206879691044311809e-01
2.321591687833308271e+00 1.053193091389216240e+00
1.518909602226971245e+00 1.040346382085561627e+00
9.793520563002751089e-01 2.030914627153458163e+00
1.034407504725426197e+00 1.880078320723576280e+00
1.089487168698251240e+00 1.935228639264379602e+00
1.015108522533035851e+00 2.017015643992079887e+00
1.050914134028165137e+00 2.183584871913861303e+00
9.496515366778052192e-01 2.162711121894492550e+00
1.069073497026233444e+00 2.035605857207654523e+00
1.020945560392288343e+00 1.968192422714833745e+00
1.000652066725897571e+00 1.907059266123003249e+00
1.084817608839757641e+00 2.232554414870463244e+00
1.069373771353300917e+00 1.911895307437236680e+00
1.016442317692200392e+00 1.902209104167793097e+00
1.003396901252214368e+00 1.737977979221776881e+00
9.495491467854703105e-01 2.071055043212845614e+00
1.066974807114652091e+00 1.758493220822160197e+00
9.792614026529591342e-01 2.126565583452321384e+00
9.828530170050141512e-01 1.804631138200565310e+00
1.098125963766156676e+00 2.040198427876730225e+00
9.550031106704891526e-01 2.178373042172865315e+00
1.074957382605385980e+00 2.217498764865468708e+00
